Energy demand,QoE,Revenue per user,Revenue,Revenue in percentage
185285.69999999998,1,2.2,2678426.7983999997,1
180095.0,1,2.2,2606859.5436000004,1
185989.3,1,2.2,2694185.3789999997,1
183573.09999999998,1,2.2,2656633.7339999997,1
163646.7,1,2.2,2369141.7111000004,1
136033.59999999998,1,2.2,1968393.5523,1
101464.29999999999,1,2.2,1468505.3049,1
73798.29999999999,1,2.2,1065865.5171,1
55942.799999999996,1,2.2,806712.3441000001,1
46530.5,1,2.2,673957.4463,1
39494.5,1,2.2,567490.5729,1
39534.399999999994,1,2.2,570779.3853,1
42707.09999999999,1,2.2,617933.3886,1
56248.2,1,2.2,810083.5641000001,1
84963.09999999998,1,2.2,1226921.8068000001,1
127975.59999999999,1,2.2,1851277.3695,1
166461.09999999998,1,2.2,2409637.5549000003,1
183214.8,1,2.2,2651573.1581999995,1
196145.09999999998,1,2.2,2838469.8491999996,1
205252.0,1,2.2,2969479.2041999996,1
209075.39999999997,1,2.2,3026756.232,1
210482.59999999998,1,2.2,3045206.1699,1
227992.8,1,2.2,3304868.7717,1
222762.19999999995,1,2.2,3225824.9001,1
218182.3,1,2.2,3162078.8756999997,1
207721.09999999998,1,2.2,3008038.4694,1
208424.69999999998,1,2.2,3019755.3318,1
195799.8,1,2.2,2834233.3494,1
161535.9,1,2.2,2340156.7106999997,1
123448.6,1,2.2,1786684.7943000002,1
91613.9,1,2.2,1322405.9945999999,1
67107.59999999999,1,2.2,965637.2736,1
52119.399999999994,1,2.2,751248.2835,1
45826.899999999994,1,2.2,658135.1871,1
43317.899999999994,1,2.2,620836.3836000001,1
50314.0,1,2.2,722375.6571,1
70983.9,1,2.2,1023182.1261,1
108062.19999999998,1,2.2,1562131.5758999998,1
155601.69999999998,1,2.2,2252446.9307999997,1
200326.8,1,2.2,2899003.8501,1
233621.59999999998,1,2.2,3385195.5798,1
230408.99999999997,1,2.2,3337642.6488,1
254556.99999999994,1,2.2,3688802.0343,1
266783.7,1,2.2,3865731.1514999997,1
268589.1,1,2.2,3891809.4111,1
249977.09999999998,1,2.2,3619510.3529999997,1
234630.59999999998,1,2.2,3398322.7358999997,1
214358.9,1,2.2,3104271.8171999995,1
203446.59999999998,1,2.2,2943045.0936000003,1
205915.7,1,2.2,2978618.9562,1
220996.69999999998,1,2.2,3202348.0986,1
207362.8,1,2.2,3002241.8439,1
160128.69999999998,1,2.2,2315470.0157999997,1
119226.99999999999,1,2.2,1724991.4683,1
91561.0,1,2.2,1321308.4752,1
73798.29999999999,1,2.2,1064479.5711,1
60164.399999999994,1,2.2,868729.6817999999,1
58053.59999999999,1,2.2,833860.0296,1
58053.59999999999,1,2.2,837774.3906,1
63284.19999999999,1,2.2,914503.3578,1
82546.9,1,2.2,1194269.6682000002,1
122744.99999999999,1,2.2,1776366.9882,1
170642.8,1,2.2,2471720.4441,1
220293.09999999998,1,2.2,3191372.9046,1
246153.7,1,2.2,3567117.8484000005,1
239555.8,1,2.2,3472122.4875,1
250733.59999999998,1,2.2,3631451.9634,1
262256.69999999995,1,2.2,3799672.0956,1
260145.9,1,2.2,3767162.2974000005,1
255566.0,1,2.2,3701783.1042,1
238852.19999999995,1,2.2,3461308.3629,1
219589.5,1,2.2,3179500.5915,1
221700.3,1,2.2,3210691.8681,1
223412.89999999997,1,2.2,3232812.69,1
218182.3,1,2.2,3160033.6689000004,1
192321.69999999998,1,2.2,2784760.6958999997,1
149309.19999999998,1,2.2,2161124.3268,1
107000.29999999999,1,2.2,1546045.2378,1
76214.5,1,2.2,1099723.8033,1
58757.2,1,2.2,850517.6022,1
50406.799999999996,1,2.2,729277.2936,1
44021.5,1,2.2,633103.8786,1
42707.09999999999,1,2.2,617663.691,1
52424.799999999996,1,2.2,753402.1185,1
83914.20000000001,1,2.2,1213880.8040999998,1
143375.0,1,2.2,2072450.0033999998,1
185285.69999999998,1,2.2,2681874.8073,1
233926.99999999997,1,2.2,3385564.5411,1
242635.7,1,2.2,3514682.2671,1
242330.3,1,2.2,3511176.1983,1
250375.3,1,2.2,3628301.7456,1
