timestamp,de
08914,1164268
08915,1169391
08916,1181206
08917,1159866
08918,1141796
08919,1253658
08920,1358351
08921,1438161
08922,1231394
08923,1002359
081000,773977
081001,602406
081002,472346
081003,407855
081004,384317
081005,418073
081006,488383
081007,664335
081008,946640
081009,1243036
081010,1335199
081011,1347471
081012,1327260
081013,1407442
081014,1389415
081015,1401362
081016,1424747
081017,1404406
081018,1447924
081019,1504015
081020,1563242
081021,1556849
081022,1229945
081023,928335
081100,761216
081101,618890
081102,511138
081103,414104
081104,443695
081105,481694
081106,719778
081107,1108345
081108,1483037
081109,1722701
081110,1814707
081111,1797988
081112,1890578
081113,1945579
081114,1944099
081115,1792473
081116,1538488
081117,1408387
081118,1387777
081119,1448669
081120,1533610
081121,1436555
081122,1108366
081123,821860
081200,685919
081201,501604
081202,447602
081203,418785
081204,427473
081205,541373
081206,896604
081207,1315076
081208,1693038
081209,1866524
081210,2003941
081211,1928108
081212,1992842
081213,1999175
081214,1936534
081215,1748566
081216,1492787
081217,1383209
081218,1381493
081219,1486522
081220,1572515
081221,1491765
081222,1148160
081223,845560
081300,745111
081301,593901
081302,542104
081303,594816
081304,499957
081305,698777
081306,932282
081307,1325712
081308,1718057
081309,1905429
081310,1972782
081311,1890175
081312,1960293
081313,2039563
081314,1975815
081315,1775771
081316,1554680
081317,1389346
081318,1416072
081319,1516015
081320,1599503
081321,1499797
081322,1220201
081323,928329
081400,709293
081401,584944
081402,480968
081403,455096
081404,461478
081405,507371
081406,787214
081407,1191806
081408,1510821
081409,1688309
081410,1803613
081411,1752257
081412,1836045
081413,1903073
081414,1825821
081415,1670634
081416,1452421
081417,1332538
081418,1330218
081419,1393201
081420,1514919
081421,1450710
081422,1208134
081423,877426
081500,706279
081501,564275
081502,450043
081503,409253
081504,416858
081505,484929
081506,715611
081507,1090516
081508,1384537
081509,1596770
081510,1698139
081511,1669778
081512,1659363
081513,1631572
081514,1535223
081515,1503119
081516,1403935
081517,1284425
081518,1292467
081519,1356963
081520,1451683
081521,1446717
081522,1201454
081523,921643
081600,689643
081601,531251
081602,444278
081603,451064
081604,419207
081605,416319
081606,500126
081607,640523
081608,835158
081609,1030830
081610,1130105
081611,1195073
081612,1188982
081613,1242183
081614,1219110
081615,1255159
081616,1262882
081617,1267504
081618,1297257
081619,1360309
081620,1442285
081621,1431011
081622,1183597
081623,888250
081700,710946
081701,593343
081702,492632
081703,403903
081704,378725
081705,394464
081706,471917
081707,590953
081708,879735
081709,1128817
081710,1284843
081711,1357017
081712,1384552
081713,1384856
081714,1354055
081715,1413893
081716,1472778
081717,1461669
081718,1499128
081719,1573517
081720,1634888
081721,1569752
081722,1213753
081723,985430
081800,701445
081801,598188
081802,538510
081803,466927
081804,442409
081805,486844
081806,727515
081807,1090747
081808,1475589
081809,1745929
081810,1891600
081811,1855361
081812,1964636
081813,2016769
081814,1975118
081815,1786979
081816,1558084
081817,1439392
081818,1430614
081819,1508481
081820,1628295
081821,1499701
081822,1210976
081823,921145
081900,705027
081901,584401
081902,478825
081903,441152
081904,439799
081905,530343
081906,802068
081907,1200058
081908,1572136
081909,1773609
081910,1958399
081911,1901935
081912,1974739
081913,2032114
081914,1976370
081915,1806805
081916,1585963
081917,1439752
081918,1412377
081919,1509343
081920,1619200
081921,1511326
081922,1168876
081923,915173
082000,740024
082001,599449
082002,519168
082003,498482
082004,480194
082005,579003
082006,839885
082007,1227585
082008,1553486
082009,1740546
082010,1869590
082011,1811845
082012,1880500
082013,1949524
082014,1919975
082015,1743224
082016,1503900
082017,1351606
082018,1385168
082019,1480362
082020,1606606
082021,1461523
082022,1177787
082023,885143
082100,656820
082101,511120
082102,479068
082103,447366
082104,474045
082105,520762
082106,765523
082107,1142186
082108,1506585
082109,1706008
082110,1832272
082111,1778113
082112,1843734
082113,1904000
082114,1872805
082115,1722991
082116,1523670
082117,1354747
082118,1374566
082119,1517386
082120,1637966
082121,1533034
082122,1192174
082123,888733
082200,660803
082201,527407
082202,469472
082203,459433
082204,433092
082205,526618
082206,855163
082207,1262987
082208,1530534
082209,1719026
082210,1794099
082211,1728181
082212,1708601
082213,1652160
082214,1563609
082215,1433424
082216,1295968
082217,1214968
082218,1223138
082219,1260749
082220,1369734
082221,1337702
082222,1142227
082223,888943
082300,657108
082301,548800
082302,450163
082303,432692
082304,395828
082305,422985
082306,530045
082307,699868
082308,874606
082309,1028516
082310,1205844
082311,1195767
082312,1246483
082313,1270854
082314,1265832
082315,1260694
082316,1287744
082317,1250272
082318,1269462
082319,1313602
082320,1425178
082321,1373942
082322,1218089
082323,944306
082400,707768
082401,563900
082402,485409
082403,409871
082404,401817
082405,407721
082406,508238
082407,681040
082408,920375
082409,1193052
082410,1359728
082411,1398852
082412,1395431
082413,1392345
082414,1371409
082415,1450264
082416,1525003
082417,1520350
082418,1552572
082419,1624733
082420,1680529
082421,1600195
082422,1221766
082423,923705
082500,657270
082501,517448
082502,441127
082503,424210
082504,396912
082505,489479
082506,751113
082507,1155637
082508,1544810
082509,1827309
082510,1900694
082511,1840627
082512,1944377
082513,2017127
082514,1987293
082515,1846926
082516,1609085
082517,1505166
082518,1509076
082519,1615183
082520,1711483
082521,1545744
082522,1183530
082523,857651
082600,667702
082601,544070
082602,438765
082603,448413
082604,437326
082605,488740
082606,855037
082607,1277609
082608,1642342
082609,1857749
082610,1971750
082611,1948544
082612,1995059
082613,2095256
082614,2036606
082615,1884942
082616,1703138
082617,1538519
082618,1504261
082619,1590962
082620,1477709
082621,1337076
082622,1098063
082623,788884
082700,662501
082701,626427
082702,554123
082703,538167
082704,592972
082705,669276
082706,919643
082707,1266515
082708,1567067
082709,1730228
082710,1697574
082711,1682563
082712,1726858
082713,1828074
082714,1612204
082715,1525301
082716,524176
082717,1274620
082718,1262020
082719,1303943
082720,365611
082721,1589061
082722,1234895
082723,882823
082800,777141
082801,814542
082802,763613
082803,582167
082804,587556
082805,673720
082806,946044
082807,1378827
082808,1682601
082809,1810157
082810,1904436
082811,1846807
082812,1844134
082813,1911376
082814,1851053
082815,1674460
082816,1479849
082817,0
082818,0
082819,0
082820,0
082821,821114
082822,1152313
082823,891354
082900,697217
082901,569738
082902,616082
082903,523213
082904,531710
082905,590728
082906,888831
082907,1250223
082908,1548186
082909,1735091
082910,1852277
082911,1725316
082912,1696756
082913,1687556
082914,1566939
082915,1455927
082916,1324154
082917,1237200
082918,1241344
082919,1283151
082920,1390649
082921,1400392
082922,1137166
082923,869271
083000,724980
083001,592812
083002,485469
083003,481805
083004,484891
083005,487553
083006,575021
083007,733632
083008,922637
083009,1105277
083010,1177733
083011,1215809
083012,1224470
083013,1211333
083014,1171725
083015,1197880
083016,1201246
083017,1180206
083018,1162367
083019,1238824
083020,1356045
083021,1319268
083022,1132423
083023,885858
083100,636499
083101,495480
083102,398423
083103,341249
083104,348029
083105,371104
083106,453867
083107,645499
083108,909994
083109,1168439
083110,1369902
083111,1436636
083112,1461461
083113,1505709
083114,1535833
083115,1565695
083116,1613238
083117,1590545
083118,1591471
083119,1675484
083120,1815905
083121,1674517
083122,1208700
083123,864940
09100,673663
09101,542470
09102,465825
09103,426449
09104,430432
09105,492921
09106,746693
09107,1120070
09108,1474515
09109,1737853
09110,1896543
09111,1784472
09112,1915108
09113,2016672
09114,2046893
09115,1888552
09116,1777551
09117,1604105
09118,1543280
09119,1643472
09120,1774969
09121,1559064
09122,1200579
09123,886926
09200,609847
09201,515910
09202,425299
09203,412728
09204,400083
09205,517158
09206,806299
09207,1220727
09208,1548568
09209,1744058
09210,1886996
09211,1787398
09212,1863991
09213,1952075
09214,1931177
09215,1794070
09216,1620127
09217,1428055
09218,1474056
09219,1526751
09220,1654852
09221,1531430
09222,1181905
09223,851880
09300,611704
09301,525355
09302,431800
09303,382177
09304,405290
09305,490659
09306,777550
09307,1188610
09308,1497442
09309,1706565
09310,1801746
09311,1738786
09312,1871210
09313,1933346
09314,1908525
09315,1794999
09316,1650451
09317,1472149
09318,1511009
09319,1494751
09320,1512042
09321,1385333
09322,1047710
09323,732932
09400,575482
09401,435024
09402,415058
09403,342819
09404,374435
09405,466614
09406,737528
09407,1242366
09408,1475922
09409,1680254
09410,1771329
09411,1720483
09412,1793467
09413,1874255
09414,1773555
09415,1608866
09416,1411114
09417,1285825
09418,1430169
09419,1678422
09420,1677811
09421,1468262
09422,1099875
09423,784419
09500,638663
09501,498489
09502,422964
09503,407050
09504,408440
09505,493874
09506,731944
09507,1164367
09508,1458684
09509,1641110
09510,1728606
09511,1644591
09512,1593012
09513,1502762
09514,1401468
09515,1295303
09516,1179612
09517,1092016
09518,1072734
09519,1258448
09520,1271793
09521,1217430
09522,995111
09523,780942
09600,600854
09601,461686
09602,420748
09603,404430
09604,364209
09605,399413
09606,464335
09607,633348
09608,788567
09609,969371
09610,1124852
09611,1086474
09612,1069558
09613,1043132
09614,1104141
09615,1158834
09616,1131998
09617,1117404
09618,1121589
09619,1182800
09620,1351588
09621,1315254
09622,1076855
09623,861782
09700,990050
09701,633265
09702,530614
09703,436749
09704,392905
09705,423440
09706,471622
09707,671001
09708,947629
09709,1185724
09710,1318061
09711,1307508
09712,1367156
09713,1429365
09714,1405844
09715,1391089
09716,1441025
09717,1486736
09718,2637566
09719,2532032
09720,2115236
09721,1759920
09722,1329158
09723,939533
09800,726836
09801,578140
09802,469874
09803,420347
09804,434532
09805,512943
09806,756274
09807,1169645
09808,1569790
09809,1806621
09810,1974612
09811,1930468
09812,2058192
09813,2194622
09814,2218057
09815,2025579
09816,1670203
09817,1542091
09818,1541623
09819,1641770
09820,1713769
09821,1524314
09822,1198087
09823,901871
09900,665902
09901,602880
09902,520742
09903,505207
09904,488892
09905,577725
09906,877015
09907,1285824
09908,1669788
09909,1889030
09910,1910650
09911,1877681
09912,1933288
09913,2045597
09914,2066908
09915,1963205
09916,1668247
09917,1606457
09918,1561634
09919,1619151
09920,1674716
09921,1459504
09922,1099448
09923,784181
091000,602751
091001,479329
091002,408123
091003,376665
091004,387153
091005,490419
091006,769243
091007,1247052
091008,1551190
091009,1774066
091010,1843498
091011,1833806
091012,1979557
091013,2077986
091014,2022865
091015,1884425
091016,1664425
091017,1480575
091018,1496806
091019,1575133
091020,1628833
091021,1472931
091022,1120525
091023,817908
