MaxCarbonBudget,MinCarbonBudget,AVGCarbonBudget
18104673.745,786448.196,9445560.9705
18880345.725,820142.5800000001,9850244.1525
19189587.659999996,833575.7279999999,10011581.693999998
18874816.495,819902.396,9847359.445500001
18166680.11,789141.688,9477910.899
17906806.3,777853.0399999999,9342329.67
17633109.415,765963.932,9199536.6735
17582161.509999998,763750.808,9172956.158999998
18087296.165,785693.332,9436494.748499999
18636664.659999996,809557.328,9723110.993999999
18736980.689999998,813914.952,9775447.820999999
18411546.009999998,799778.408,9605662.208999999
24909118.933999997,1079817.342,12994468.137999998
30941003.501999997,1353720.4079999998,16147361.954999998
29966797.119999997,1288269.0159999998,15627533.067999998
30106533.856999997,1314789.335,15710661.595999999
29569658.04,1270608.144,15420133.092
24755039.777999997,1081197.3059999999,12918118.542
17876948.994,778255.992,9327602.492999999
13441828.583999999,583206.408,7012517.495999999
9555393.807,420800.427,4988097.117
7247514.140999999,322287.903,3784901.0219999994
6003655.0649999995,271980.80999999994,3137817.9374999995
5676610.603999999,250856.90000000002,2963733.752
5760110.624999999,257096.875,3008603.7499999995
7922935.319999999,353572.31999999995,4138253.82
13009692.042,559967.217,6784829.6295
21120225.074999996,933588.625,11026906.849999998
27041912.208,1163946.4079999998,14102929.308
31526534.928,1358612.024,16442573.476
32788951.782,1425834.5219999999,17107393.152000003
31896469.897999994,1387024.758,16641747.327999998
34391135.699999996,1494486.225,17942810.9625
38005122.56999999,1645727.5980000002,19825425.083999995
37593725.339999996,1636757.084,19615241.211999997
35388389.23499999,1543006.14,18465697.687499996
31489373.04,1353785.8800000001,16421579.459999999
28074453.441999994,1219035.4679999999,14646744.454999996
26422716.539999995,1146463.2959999999,13784589.917999998
26627456.367999997,1150774.832,13889115.599999998
26348123.724,1146815.592,13747469.658
20188193.237999994,883728.561,10535960.899499997
13852401.866999999,603051.156,7227726.511499999
9239682.816,400866.10199999996,4820274.459
6107383.007999999,270019.296,3188701.152
4782552.885,208204.92599999998,2495378.9055
3671952.1649999996,163893.97500000003,1917923.0699999998
3948245.9639999997,181965.42,2065105.6919999998
4111557.3110000007,177548.656,2144552.9835000006
5874585.050999999,252147.915,3063366.4829999995
10185085.634,447373.391,5316229.5125
17409559.846,761933.55,9085746.698
21840356.2,946718.4319999999,11393537.316
26915196.214,1168698.756,14041947.485000001
28019768.890999995,1206821.0520000001,14613294.971499998
28957088.748999998,1269479.473,15113284.111
31870741.391999997,1387051.352,16628896.371999998
35894614.328999996,1556397.258,18725505.7935
37031667.205,1614656.4200000002,19323161.8125
37104484.385000005,1611039.425,19357761.905
35287795.95,1526394.807,18407095.3785
32959261.608000003,1420442.4780000001,17189852.043
32604140.464,1414636.567,17009388.5155
35313849.283999994,1519934.876,18416892.08
35620785.04,1561616.0799999998,18591200.56
31453045.169999998,1371078.78,16412061.975
23466515.38,1024339.7799999999,12245427.58
16694339.688000001,726774.8019999999,8710557.245000001
11267092.147999998,499666.23199999996,5883379.1899999995
8680091.97,379974.54000000004,4530033.255000001
7044013.75,302395.15,3673204.45
5986070.052999999,275883.965,3130977.0089999996
6319646.192999999,282071.19499999995,3300858.6939999997
7744012.749,341313.426,4042663.0875
12589966.620000001,554275.26,6572120.94
18128330.441999998,791223.8759999999,9459777.158999998
20770997.130000003,904583.355,10837790.242500002
23244095.049999997,1008545.1199999999,12126320.084999999
23172847.187999997,996243.1859999999,12084545.186999999
21958848.815999996,951348.488,11455098.651999999
22939592.742,1003645.368,11971619.055
26076534.225,1130683.45,13603608.8375
27827862.751,1213351.724,14520607.237499999
28501472.862,1237505.31,14869489.086
27188172.611999996,1182283.4519999998,14185228.031999998
25069862.496,1087737.438,13078799.967
23650533.2,1026155.225,12338344.2125
24185524.482000005,1047642.8759999999,12616583.679000001
24420739.937999997,1051087.182,12735913.559999999
21646212.2,940905.7999999999,11293559.0
16630352.999999998,718957.0800000001,8674655.04
11163558.719999999,492627.192,5828092.955999999
7877461.892999999,347454.394,4112458.1435
5656149.301999999,252413.75199999998,2954281.527
4799132.8,212080.0,2505606.4
4256691.648,184758.596,2220725.122
4107017.7419999996,184216.392,2145617.067
5953949.569,255554.385,3104751.977
11006344.985999998,488495.06999999995,5747420.027999999
17508511.298,758652.99,9133582.144
20711474.874999996,897784.58,10804629.727499997
23698155.516,1021317.3809999999,12359736.4485
24707863.755,1071107.859,12889485.807
23456701.159999996,1024621.7559999999,12240661.457999999
24409285.36,1066231.976,12737758.668
25952376.724999998,1137752.825,13545064.774999999
25159387.191999994,1091750.916,13125569.053999998
23552926.055999998,1030868.5389999999,12291897.2975
23704565.869999997,1033312.58,12368939.224999998
22714986.282,983512.898,11849249.59
22559245.799999997,977880.288,11768563.043999998
23408306.879999995,1013655.524,12210981.201999998
31374892.935000002,1360362.195,16367627.565000001
24214668.369999997,1056306.85,12635487.61
18458862.762,798094.2300000001,9628478.496
14131063.496,618910.048,7374986.772
10200356.68,448219.251,5324287.9655
6888618.829,301552.078,3595085.4535
5184274.482,231141.91,2707708.196
4632862.3549999995,200060.08,2416461.2175
5132423.979,228830.145,2680627.062
4874738.783,225104.95500000002,2549921.869
6382768.454999999,295148.41,3338958.4324999996
8317029.543,361828.039,4339428.791
11308596.515999999,494206.64999999997,5901401.583
14569917.985,627816.2150000001,7598867.1
16584659.91,725375.196,8655017.553
16673637.299999997,725873.9,8699755.599999998
17474154.023999996,764383.494,9119268.758999998
19588526.519999996,856443.165,10222484.842499997
21272880.553999998,919520.107,11096200.3305
22476725.055999998,976896.9800000001,11726811.018
23241442.895999998,1008405.513,12124924.204499999
21946002.407999996,960536.4269999999,11453269.417499999
19702447.699999996,856415.2999999999,10279431.499999998
17559401.130000003,764717.355,9162059.242500002
17513017.228,752760.8330000001,9132889.0305
15903548.452,687430.766,8295489.609
13158483.616,572049.456,6865266.536
10095419.738,444399.59599999996,5269909.667
7553741.259999998,324248.6,3938994.929999999
5409932.927,243461.24600000004,2826697.0865
4109949.106999999,181143.918,2145546.5124999993
3843151.461,174104.51399999997,2008627.9875
3016804.178,139309.53,1578056.8539999998
2798788.26,125356.32800000001,1462072.294
3381849.948,150316.61000000002,1766083.2789999999
4742778.005,210905.41500000004,2476841.71
7298189.891999999,317720.893,3807955.3924999996
10572332.796999998,461358.58400000003,5516845.6905
12985471.716000002,558153.6510000001,6771812.683500001
14121117.876,613778.787,7367448.3315
15262378.570999999,667119.508,7964749.039499999
16395037.693999998,705654.8659999999,8550346.28
17906643.849,775035.513,9340839.681
20386543.590000004,890404.65,10638474.120000001
22193743.761,962324.9219999998,11578034.3415
21807496.07,950756.6120000001,11379126.341
21132881.188,915034.744,11023957.966
21187595.341,912436.8759999999,11050016.108499998
22034397.314999998,955415.6299999999,11494906.472499998
20447708.6,884477.916,10666093.258000001
15130587.848,652308.796,7891448.322
11010163.054,482221.352,5746192.203
8032577.634,346269.888,4189423.761
7127237.556,315636.501,3721437.0285
5904456.567,253430.05500000002,3078943.3109999998
5818635.0,259425.0,3039030.0
5592390.892,241495.23200000002,2916943.062
7626288.933,345490.24199999997,3985889.5875
13499129.514000002,599132.4299999999,7049130.972000001
22043953.46,971116.72,11507535.09
27447584.516999997,1178856.423,14313220.469999999
31595279.759999998,1368838.68,16482059.219999999
33739279.378,1473600.0299999998,17606439.704
34708628.958000004,1507013.79,18107821.374
35360576.24999999,1524420.0299999998,18442498.139999997
39025989.024,1696521.0240000002,20361255.023999996
37900210.379999995,1637759.6849999998,19768985.0325
34815987.47,1514587.646,18165287.558
31867459.175999995,1368555.3139999998,16618007.244999997
27574191.623999998,1186814.1360000002,14380502.879999999
26017730.931999996,1118549.954,13568140.442999998
25349770.367999997,1099036.8,13224403.583999999
23088844.386,1004953.788,12046899.087
18580789.356,807619.797,9694204.576499999
11621547.375,502418.30499999993,6061982.84
7436435.68,328156.148,3882295.914
4966259.899999999,223927.04599999997,2595093.4729999998
3652166.415,164260.32,1908213.3675
2894671.2249999996,133408.625,1514039.9249999998
2980502.6589999995,137364.39500000002,1558933.5269999998
2932979.8419999997,126703.516,1529841.6789999998
4250314.038,192550.012,2221432.025
7797604.529999999,335109.886,4066357.2079999996
