timestamp,De
02560000,371006
02570000,628206
02580000,1098396
02590000,1407917
025100000,1719332
025110000,1785511
025120000,1705862
025130000,1719829
025140000,1856176
025150000,1846903
025160000,1746475
025170000,1661202
025180000,1364728
025190000,1359935
025200000,1421904
025210000,1432409
025220000,1250984
025230000,912447
02600000,637810
02610000,509627
02620000,399532
02630000,335358
02640000,311302
02650000,325389
02660000,448263
02670000,655948
02680000,1093350
02690000,1400288
026100000,1688995
026110000,1749744
026120000,1635756
026130000,1626339
026140000,1811127
026150000,1680876
026160000,1592011
026170000,1417518
026180000,1288408
026190000,1275341
026200000,1326005
026210000,1321535
026220000,1221728
026230000,984940
02700000,783858
02710000,644004
02720000,438881
02730000,353835
02740000,316497
02750000,338456
02760000,352271
02770000,347998
02780000,450036
02790000,676377
027100000,912542
027110000,1125907
027120000,1168812
027130000,1133032
027140000,1157364
027150000,1196637
027160000,1215116
027170000,1282785
027180000,1223770
027190000,1147371
027200000,1209519
027210000,1269663
027220000,1181205
027230000,1021291
02800000,774186
02810000,627544
02820000,471571
02830000,361325
02840000,311822
02850000,266258
02860000,293642
02870000,326541
02880000,512085
02890000,802351
028100000,1102633
028110000,1320395
028120000,1393400
028130000,1397792
028140000,1472701
028150000,1502483
028160000,1478883
028170000,1601004
028180000,1650452
028190000,1662554
028200000,1725930
028210000,1690220
028220000,1504341
028230000,1161485
02900000,845975
02910000,632131
02920000,506346
02930000,320006
02940000,298630
02950000,281748
02960000,374696
02970000,640453
02980000,1129848
02990000,1503917
029100000,1905388
029110000,1969187
029120000,1993326
029130000,1955275
029140000,2205273
029150000,2103997
029160000,1916926
029170000,1707285
029180000,1524636
029190000,1498473
029200000,1605038
029210000,1556098
029220000,1336176
029230000,1005741
021000000,713320
021010000,574786
021020000,436376
021030000,395252
021040000,377929
021050000,382171
021060000,433048
021070000,689395
021080000,1231896
021090000,1642527
0210100000,1915244
0210110000,2014235
0210120000,1949908
0210130000,1914327
0210140000,2051682
0210150000,2022946
